 Animal_Type,Count,Region,Area_Required_sqft,Water_Supply_Liters_per_day,Feed_Type,Feed_Quantity_kg_per_week,Vaccination_Schedule,Practice_Guidance
Cow,1,South,537,81,"Wheat Bran, Mustard Cake, Cottonseed Cake, Sorghum",46,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Cow,11,South,7436,572,"Lucerne, Gram Husk, Groundnut Cake, Paddy Straw",440,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,21,South,13167,4683,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",1008,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Cow,31,South,10323,1767,"Groundnut Cake, Paddy Straw, Cottonseed Cake, Sorghum",558,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,41,South,25953,4141,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",1230,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Cow,51,South,17493,14841,"Maize, Fish Meal, Cottonseed Cake, Sorghum",1428,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Cow,61,South,20191,13725,"Lucerne, Gram Husk, Groundnut Cake, Paddy Straw",915,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Cow,71,South,55238,4118,"Maize, Fish Meal, Groundnut Cake, Paddy Straw",2201,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Cow,81,South,58644,10206,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",2673,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Cow,91,South,31941,17199,"Lucerne, Gram Husk, Groundnut Cake, Paddy Straw",1456,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Cow,1,East,753,180,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",14,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,11,East,8030,2354,"Maize, Fish Meal, Wheat Bran, Mustard Cake",253,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Cow,21,East,15330,2415,"Maize, Fish Meal, Cottonseed Cake, Sorghum",798,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,31,East,6386,9238,"Lucerne, Gram Husk, Maize, Fish Meal",341,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,41,East,30914,7134,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",738,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,51,East,13260,5559,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",714,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,61,East,43188,8662,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",1464,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Cow,71,East,51617,15691,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",3124,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Cow,81,East,17010,6561,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",3402,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Cow,91,East,51779,9828,"Groundnut Cake, Paddy Straw, Cottonseed Cake, Sorghum",3640,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,1,West,579,71,"Maize, Fish Meal, Lucerne, Gram Husk",42,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Cow,11,West,7689,2442,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",165,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Cow,21,West,13734,6237,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",315,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,31,West,15500,8897,"Cottonseed Cake, Sorghum, Maize, Fish Meal",1364,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,41,West,12259,5863,"Maize, Fish Meal, Cottonseed Cake, Sorghum",1763,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Cow,51,West,33303,13464,"Cottonseed Cake, Sorghum, Lucerne, Gram Husk",561,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Cow,61,West,33916,10431,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",1464,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,71,West,22152,3550,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",3266,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Cow,81,West,26973,15309,"Maize, Fish Meal, Lucerne, Gram Husk",3645,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,91,West,24024,22295,"Lucerne, Gram Husk, Maize, Fish Meal",3458,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Cow,1,Central,363,64,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",32,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,11,Central,7194,572,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",319,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Cow,21,Central,14847,2142,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",1008,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Cow,31,Central,19344,2077,"Maize, Fish Meal, Cottonseed Cake, Sorghum",930,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Cow,41,Central,24108,4674,"Maize, Fish Meal, Lucerne, Gram Husk",1763,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Cow,51,Central,22287,12648,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",1122,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Cow,61,Central,44347,16531,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",2867,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Cow,71,Central,55167,7597,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",3337,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Cow,81,Central,42930,24138,"Cottonseed Cake, Sorghum, Groundnut Cake, Paddy Straw",1539,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Cow,91,Central,30485,9737,"Groundnut Cake, Paddy Straw, Cottonseed Cake, Sorghum",4095,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,1,North,753,268,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",46,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,11,North,8360,1760,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",341,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,21,North,11487,1239,"Wheat Bran, Mustard Cake, Maize, Fish Meal",840,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,31,North,22537,6882,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",1426,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,41,North,13161,4551,"Lucerne, Gram Husk, Maize, Fish Meal",533,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Goat,51,North,30600,9231,"Cottonseed Cake, Sorghum, Maize, Fish Meal",1887,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Goat,61,North,43310,15006,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",1708,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,71,North,46434,7100,"Groundnut Cake, Paddy Straw, Lucerne, Gram Husk",1988,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,81,North,40500,20007,"Lucerne, Gram Husk, Groundnut Cake, Paddy Straw",2511,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,91,North,48594,5551,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",1001,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,1,South,501,195,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",30,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,11,South,2266,1705,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",253,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,21,South,10899,1596,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",231,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,31,South,15562,5487,"Wheat Bran, Mustard Cake, Cottonseed Cake, Sorghum",465,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Goat,41,South,8528,11439,"Wheat Bran, Mustard Cake, Maize, Fish Meal",1640,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,51,South,24429,14535,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",2193,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,61,South,33855,8052,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",1464,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,71,South,50268,14058,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",781,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,81,South,21708,17172,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",2268,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Goat,91,South,71344,23842,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",3913,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,1,East,535,160,"Groundnut Cake, Paddy Straw, Cottonseed Cake, Sorghum",18,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,11,East,4059,3190,"Wheat Bran, Mustard Cake, Cottonseed Cake, Sorghum",297,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,21,East,14826,2184,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",252,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,31,East,12741,8339,"Maize, Fish Meal, Wheat Bran, Mustard Cake",1333,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,41,East,8323,8938,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",1804,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,51,East,33966,8364,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",1836,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,61,East,17263,11895,"Groundnut Cake, Paddy Straw, Cottonseed Cake, Sorghum",1220,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,71,East,28045,7881,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",1988,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,81,East,17172,23652,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",1782,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,91,East,53053,17290,"Cottonseed Cake, Sorghum, Maize, Fish Meal",1365,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,1,West,361,62,"Maize, Fish Meal, Cottonseed Cake, Sorghum",36,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,11,West,7535,1881,"Cottonseed Cake, Sorghum, Maize, Fish Meal",528,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Goat,21,West,16233,2373,"Cottonseed Cake, Sorghum, Maize, Fish Meal",420,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,31,West,14136,8401,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",1116,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,41,West,29397,6314,"Wheat Bran, Mustard Cake, Cottonseed Cake, Sorghum",451,"FMD, HS, BQ","Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,51,West,28254,9588,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",2499,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,61,West,20191,7503,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",2074,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,71,West,17395,3763,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",2130,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Goat,81,West,20331,20088,"Groundnut Cake, Paddy Straw, Wheat Bran, Mustard Cake",1782,Blue Tongue,"Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,91,West,48139,20566,"Maize, Fish Meal, Lucerne, Gram Husk",4277,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Goat,1,Central,202,96,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",38,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,11,Central,6501,1012,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",143,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Ensure proper drainage to avoid infections."
Goat,21,Central,14112,1953,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",378,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,31,Central,16585,1612,"Cottonseed Cake, Sorghum, Maize, Fish Meal",620,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Ensure proper drainage to avoid infections."
Goat,41,Central,18245,8856,"Maize, Fish Meal, Wheat Bran, Mustard Cake",697,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Goat,51,Central,33762,7599,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",1122,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Goat,61,Central,20618,16104,"Groundnut Cake, Paddy Straw, Maize, Fish Meal",1952,"Newcastle, Fowl Pox","Summer: Feed light, high-moisture content food.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Goat,71,Central,47854,4473,"Cottonseed Cake, Sorghum, Lucerne, Gram Husk",1775,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Goat,81,Central,36774,7128,"Maize, Fish Meal, Lucerne, Gram Husk",972,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Goat,91,Central,56147,20475,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",4459,"FMD, HS, BQ","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Poultry,1,North,646,180,"Wheat Bran, Mustard Cake, Lucerne, Gram Husk",47,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Poultry,11,North,3531,1199,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",121,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Ensure proper drainage to avoid infections."
Poultry,21,North,16149,4536,"Groundnut Cake, Paddy Straw, Lucerne, Gram Husk",546,"ET, PPR","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Use dry fodder to prevent spoilage."
Poultry,31,North,22041,9145,"Wheat Bran, Mustard Cake, Groundnut Cake, Paddy Straw",341,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Poultry,41,North,24518,8487,"Wheat Bran, Mustard Cake, Cottonseed Cake, Sorghum",697,"ET, PPR","Summer: Feed light, high-moisture content food.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Poultry,51,North,36108,9639,"Cottonseed Cake, Sorghum, Maize, Fish Meal",765,"FMD, HS, BQ","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Increase high-energy feed for warmth.
Rainy: Keep shelter elevated and dry."
Poultry,61,North,22082,15616,"Wheat Bran, Mustard Cake, Maize, Fish Meal",2318,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Poultry,71,North,28755,17679,"Lucerne, Gram Husk, Maize, Fish Meal",1065,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Increase high-energy feed for warmth.
Rainy: Use dry fodder to prevent spoilage."
Poultry,81,North,22032,7290,"Lucerne, Gram Husk, Groundnut Cake, Paddy Straw",2997,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Keep shelter elevated and dry."
Poultry,91,North,30849,15197,"Lucerne, Gram Husk, Cottonseed Cake, Sorghum",1911,"Newcastle, Fowl Pox","Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Poultry,1,South,493,190,"Lucerne, Gram Husk, Wheat Bran, Mustard Cake",42,"Newcastle, Fowl Pox","Summer: Use sprinklers or fans to reduce heat stress.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Poultry,11,South,2387,2090,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",319,Blue Tongue,"Summer: Provide ample shade and cooling water.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Poultry,21,South,10479,6279,"Cottonseed Cake, Sorghum, Maize, Fish Meal",798,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
Poultry,31,South,13702,7130,"Cottonseed Cake, Sorghum, Wheat Bran, Mustard Cake",1333,Blue Tongue,"Summer: Use sprinklers or fans to reduce heat stress.
Winter: Avoid damp conditions to prevent illnesses.
Rainy: Use dry fodder to prevent spoilage."
Poultry,41,South,28249,4346,"Lucerne, Gram Husk, Maize, Fish Meal",1312,"ET, PPR","Summer: Provide ample shade and cooling water.
Winter: Ensure insulated shelter with thick bedding.
Rainy: Keep shelter elevated and dry."
